"","Type","Flora","Batch"
"1964","HM20","S",20
"1965","HM20","S",20
"1966","HM20","S",20
"1967","HM20","S",20
"1968","HM20","S",20
"1969","HM20","S",20
"1970","HM20","S",20
"1971","HM20","S",21
"1972","HM20","S",21
"1973","HM20","S",21
"1974","HM20","S",21
"1975","HM20","S",21
"1976","HM20","S",21
"1977","HM20","S",21
"1978","HM20","S",21
"1979","HM20","S",21
"1980","HM20","S",21
"1981","HM20","S",21
"1982","HM20","S",21
"1983","HM20","S",21
"1984","HM20","S",21
"1985","HM20","S",21
"1986","HM20","S",21
"1987","HM20","S",21
"1988","HM20","S",21
"1989","HM20","S",21
"1990","HM20","S",21
"1991","HM20","S",21
"1992","HM20","S",22
