"","Type","Flora","Batch"
"1997","HM20","C",17
"1998","HM20","C",17
"2002","HM20","C",17
"2003","HM20","C",17
"2005","HM20","C",17
"2006","HM20","C",17
"2007","HM20","C",17
"2008","HM20","C",17
"2009","HM20","C",17
"2010","HM20","C",17
"2011","HM20","C",17
"2255","HM20","C",18
"2256","HM20","C",18
"2257","HM20","C",18
"2258","HM20","C",18
"2259","HM20","C",18
"2260","HM20","C",18
"2261","HM20","C",18
"2262","HM20","C",18
"2263","HM20","C",18
"2264","HM20","C",18
"2265","HM20","C",18
"2315","HM20","C",19
"2316","HM20","C",19
"2317","HM20","C",19
"2318","HM20","C",19
"2319","HM20","C",19
"2320","HM20","C",19
"2321","HM20","C",19
"2322","HM20","C",19
"2323","HM20","C",19
"2324","HM20","C",19
"2325","HM20","C",19
"2326","HM20","C",19
"2327","HM20","C",19
"2328","HM20","C",19
"2330","HM20","C",19
"2331","HM20","C",19
"2332","HM20","C",19
"2333","HM20","C",19
"2334","HM20","C",19
"2335","HM20","C",19
"2336","HM20","C",19
"2337","HM20","C",19
"2358","HM20","C",20
"2359","HM20","C",20
"2360","HM20","C",20
"2361","HM20","C",20
"2362","HM20","C",20
"2363","HM20","C",20
"2364","HM20","C",20
"2365","HM20","C",20
"2366","HM20","C",20
"2367","HM20","C",20
"2368","HM20","C",20
"2369","HM20","C",20
"2370","HM20","C",20
"2371","HM20","C",20
"2372","HM20","C",20
"2373","HM20","C",20
"2374","HM20","C",20
"2375","HM20","C",20
